lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
1.125,41.8125,34.7,0.0,0,3.76,2026-07-17T16:10:06Z
1.375,41.8125,35.2,0.0,0,4.51,2026-07-17T16:10:06Z
1.625,41.8125,34.6,0.0,0,4.74,2026-07-17T16:10:06Z
1.875,41.8125,34.5,0.0,0,5.47,2026-07-17T16:10:06Z
2.125,41.8125,29.4,0.0,20,5.6,2026-07-17T16:10:06Z
2.375,41.8125,30.4,0.0,3,2.62,2026-07-17T16:10:06Z
2.625,41.8125,28.3,0.0,23,3.68,2026-07-17T16:10:06Z
2.875,41.8125,30.2,0.0,0,3.66,2026-07-17T16:10:06Z
3.0625,41.8125,28.3,0.0,0,2.22,2026-07-17T16:10:06Z
3.375,41.8125,26.4,0.0,0,2.38,2026-07-17T16:10:06Z
3.625,41.8125,26.3,0.0,0,2.14,2026-07-17T16:10:06Z
3.875,41.8125,26.3,0.0,0,1.63,2026-07-17T16:10:06Z
4.125,41.8125,26.3,0.0,0,1.08,2026-07-17T16:10:06Z
4.375,41.8125,26.2,0.0,0,0.4,2026-07-17T16:10:06Z
4.625,41.8125,26.2,0.0,0,0.8,2026-07-17T16:10:06Z
4.875,41.8125,26.1,0.0,3,1.55,2026-07-17T16:10:06Z
5.125,41.8125,26.0,0.0,10,2.16,2026-07-17T16:10:06Z
5.375,41.8125,26.2,0.0,0,2.41,2026-07-17T16:10:06Z
5.625,41.8125,26.4,0.0,3,2.69,2026-07-17T16:10:06Z
5.875,41.8125,26.4,0.0,0,2.69,2026-07-17T16:10:06Z
6.125,41.8125,26.4,0.0,2,2.69,2026-07-17T16:10:06Z
6.375,41.8125,26.6,0.0,9,3.04,2026-07-17T16:10:06Z
6.625,41.8125,26.9,0.0,23,3.38,2026-07-17T16:10:06Z
6.875,41.8125,27.2,0.0,28,3.64,2026-07-17T16:10:06Z
7.125,41.8125,27.6,0.0,33,3.7,2026-07-17T16:10:06Z
7.375,41.8125,27.9,0.0,40,3.64,2026-07-17T16:10:06Z
7.625,41.8125,28.1,0.0,31,3.61,2026-07-17T16:10:06Z
7.875,41.8125,28.2,0.0,23,3.45,2026-07-17T16:10:06Z
8.125,41.8125,28.3,0.0,23,3.13,2026-07-17T16:10:06Z
8.375,41.8125,28.3,0.0,42,2.71,2026-07-17T16:10:06Z
8.625,41.8125,28.3,0.0,49,2.3,2026-07-17T16:10:06Z
8.875,41.8125,28.9,0.0,20,1.82,2026-07-17T16:10:06Z
9.125,41.8125,30.0,0.0,0,4.22,2026-07-17T16:10:06Z
9.3125,41.8125,31.6,0.0,0,2.2,2026-07-17T16:10:06Z
9.625,41.8125,29.6,0.0,0,2.33,2026-07-17T16:10:06Z
-5.125,42.0625,29.2,0.0,1,2.55,2026-07-17T16:10:06Z
-4.875,42.0625,29.3,0.0,30,2.69,2026-07-17T16:10:06Z
-4.625,42.0625,29.7,0.0,41,2.18,2026-07-17T16:10:06Z
-4.375,42.0625,29.3,0.0,38,2.69,2026-07-17T16:10:06Z
-4.125,42.0625,29.9,0.0,35,2.86,2026-07-17T16:10:06Z
-3.875,42.0625,29.7,0.0,35,2.31,2026-07-17T16:10:06Z
-3.625,42.0625,29.0,0.0,4,2.6,2026-07-17T16:10:06Z
-3.375,42.0625,29.9,0.0,0,3.14,2026-07-17T16:10:06Z
-3.125,42.0625,26.0,0.0,0,3.35,2026-07-17T16:10:06Z
-2.875,42.0625,26.8,0.0,0,3.2,2026-07-17T16:10:06Z
-2.625,42.0625,25.8,0.0,0,3.3,2026-07-17T16:10:06Z
-2.375,42.0625,30.7,0.0,0,2.33,2026-07-17T16:10:06Z
-2.125,42.0625,28.9,0.0,41,4.28,2026-07-17T16:10:06Z
-1.875,42.0625,31.3,0.0,2,4.22,2026-07-17T16:10:06Z
-1.625,42.0625,33.7,0.0,8,3.06,2026-07-17T16:10:06Z
-1.375,42.0625,33.9,0.0,1,1.96,2026-07-17T16:10:06Z
-1.125,42.0625,34.4,0.0,0,2.33,2026-07-17T16:10:06Z
-0.875,42.0625,33.4,0.0,0,2.2,2026-07-17T16:10:06Z
-0.625,42.0625,33.8,0.0,0,2.01,2026-07-17T16:10:06Z
-0.375,42.0625,34.5,0.0,0,3.22,2026-07-17T16:10:06Z
-0.125,42.0625,34.0,0.0,0,3.36,2026-07-17T16:10:06Z
0.125,42.0625,34.6,0.0,0,2.82,2026-07-17T16:10:06Z
0.375,42.0625,33.0,0.0,0,4.22,2026-07-17T16:10:06Z
0.625,42.0625,31.6,0.0,0,4.33,2026-07-17T16:10:06Z
0.875,42.0625,34.4,0.0,0,4.53,2026-07-17T16:10:06Z
1.125,42.125,29.3,0.0,0,4.65,2026-07-17T16:10:06Z
1.3125,42.125,32.1,0.0,0,4.42,2026-07-17T16:10:06Z
1.625,42.125,28.0,0.0,0,4.31,2026-07-17T16:10:06Z
1.875,42.0625,34.4,0.0,0,5.47,2026-07-17T16:10:06Z
2.125,42.0625,33.5,0.0,0,5.15,2026-07-17T16:10:06Z
2.375,42.0625,33.1,0.0,0,3.98,2026-07-17T16:10:06Z
2.625,42.0625,29.0,0.0,59,4.39,2026-07-17T16:10:06Z
2.875,42.0625,31.7,0.0,20,4.38,2026-07-17T16:10:06Z
3.125,42.0625,30.7,0.0,15,3.98,2026-07-17T16:10:06Z
3.375,42.0625,26.9,0.0,2,3.42,2026-07-17T16:10:06Z
3.625,42.0625,26.7,0.0,2,2.42,2026-07-17T16:10:06Z
3.875,42.0625,26.8,0.0,0,1.8,2026-07-17T16:10:06Z
4.125,42.0625,26.7,0.0,0,1.12,2026-07-17T16:10:06Z
4.375,42.0625,26.3,0.0,0,0.61,2026-07-17T16:10:06Z
4.625,42.0625,26.3,0.0,0,0.7,2026-07-17T16:10:06Z
4.875,42.0625,26.2,0.0,0,1.03,2026-07-17T16:10:06Z
5.125,42.0625,26.0,0.0,0,1.7,2026-07-17T16:10:06Z
5.375,42.0625,26.1,0.0,1,2.72,2026-07-17T16:10:06Z
5.625,42.0625,26.4,0.0,1,3.05,2026-07-17T16:10:06Z
5.875,42.0625,26.5,0.0,0,3.23,2026-07-17T16:10:06Z
6.125,42.0625,26.6,0.0,0,3.13,2026-07-17T16:10:06Z
6.375,42.0625,26.7,0.0,3,3.08,2026-07-17T16:10:06Z
6.625,42.0625,27.0,0.0,5,3.4,2026-07-17T16:10:06Z
6.875,42.0625,27.3,0.0,22,3.54,2026-07-17T16:10:06Z
7.125,42.0625,27.7,0.0,12,3.42,2026-07-17T16:10:06Z
7.375,42.0625,28.0,0.0,42,3.42,2026-07-17T16:10:06Z
7.625,42.0625,28.2,0.0,37,3.4,2026-07-17T16:10:06Z
7.875,42.0625,28.4,0.0,30,3.22,2026-07-17T16:10:06Z
